sample_name	mtx_study_accession	mtx_run_accession	mgx_study_accession	mgx_run_accession	sample_type
C_2_1	PRJNA406858	SRR6032600	PRJNA406858	SRR6032602	activated_sludge
B_2_1	PRJNA406858	SRR6032604	PRJNA406858	SRR6032601	activated_sludge
E_2_1	PRJNA406858	SRR6032605	PRJNA406858	SRR6032603	activated_sludge
rumen_microbiome_of_beef_cattle_101	PRJNA448333	SRR8416057	PRJNA448333	SRR8397906	cattle_rumen
rumen_microbiome_of_beef_cattle_103	PRJNA448333	SRR8416058	PRJNA448333	SRR8404214	cattle_rumen
rumen_microbiome_of_beef_cattle_104	PRJNA448333	SRR8416055	PRJNA448333	SRR8397905	cattle_rumen
rumen_microbiome_of_beef_cattle_105	PRJNA448333	SRR8416056	PRJNA448333	SRR8397904	cattle_rumen
rumen_microbiome_of_beef_cattle_106	PRJNA448333	SRR8416061	PRJNA448333	SRR8397903	cattle_rumen
rumen_microbiome_of_beef_cattle_107	PRJNA448333	SRR8416062	PRJNA448333	SRR8397910	cattle_rumen
rumen_microbiome_of_beef_cattle_112	PRJNA448333	SRR8416059	PRJNA448333	SRR8397909	cattle_rumen
rumen_microbiome_of_beef_cattle_201	PRJNA448333	SRR8416060	PRJNA448333	SRR8397908	cattle_rumen
rumen_microbiome_of_beef_cattle_202	PRJNA448333	SRR8416064	PRJNA448333	SRR8397907	cattle_rumen
rumen_microbiome_of_beef_cattle_203	PRJNA448333	SRR8416065	PRJNA448333	SRR8397902	cattle_rumen
rumen_microbiome_of_beef_cattle_205	PRJNA448333	SRR8416069	PRJNA448333	SRR8397901	cattle_rumen
rumen_microbiome_of_beef_cattle_206	PRJNA448333	SRR8416070	PRJNA448333	SRR8397884	cattle_rumen
rumen_microbiome_of_beef_cattle_207	PRJNA448333	SRR8416067	PRJNA448333	SRR8397883	cattle_rumen
rumen_microbiome_of_beef_cattle_208	PRJNA448333	SRR8416068	PRJNA448333	SRR8397886	cattle_rumen
rumen_microbiome_of_beef_cattle_209	PRJNA448333	SRR8416073	PRJNA448333	SRR8397885	cattle_rumen
rumen_microbiome_of_beef_cattle_210	PRJNA448333	SRR8416074	PRJNA448333	SRR8397888	cattle_rumen
rumen_microbiome_of_beef_cattle_301	PRJNA448333	SRR8416071	PRJNA448333	SRR8397887	cattle_rumen
rumen_microbiome_of_beef_cattle_302	PRJNA448333	SRR8416072	PRJNA448333	SRR8397890	cattle_rumen
rumen_microbiome_of_beef_cattle_303	PRJNA448333	SRR8416075	PRJNA448333	SRR8397889	cattle_rumen
rumen_microbiome_of_beef_cattle_304	PRJNA448333	SRR8416076	PRJNA448333	SRR8397882	cattle_rumen
rumen_microbiome_of_beef_cattle_305	PRJNA448333	SRR8416092	PRJNA448333	SRR8397881	cattle_rumen
rumen_microbiome_of_beef_cattle_307	PRJNA448333	SRR8416091	PRJNA448333	SRR8397917	cattle_rumen
rumen_microbiome_of_beef_cattle_308	PRJNA448333	SRR8416090	PRJNA448333	SRR8397918	cattle_rumen
rumen_microbiome_of_beef_cattle_401	PRJNA448333	SRR8416089	PRJNA448333	SRR8397919	cattle_rumen
rumen_microbiome_of_beef_cattle_402	PRJNA448333	SRR8416096	PRJNA448333	SRR8397920	cattle_rumen
rumen_microbiome_of_beef_cattle_403	PRJNA448333	SRR8416095	PRJNA448333	SRR8397913	cattle_rumen
rumen_microbiome_of_beef_cattle_404	PRJNA448333	SRR8416094	PRJNA448333	SRR8397914	cattle_rumen
rumen_microbiome_of_beef_cattle_407	PRJNA448333	SRR8416093	PRJNA448333	SRR8397915	cattle_rumen
rumen_microbiome_of_beef_cattle_501	PRJNA448333	SRR8416088	PRJNA448333	SRR8397916	cattle_rumen
rumen_microbiome_of_beef_cattle_503	PRJNA448333	SRR8416087	PRJNA448333	SRR8397911	cattle_rumen
rumen_microbiome_of_beef_cattle_505	PRJNA448333	SRR8416102	PRJNA448333	SRR8397912	cattle_rumen
rumen_microbiome_of_beef_cattle_506	PRJNA448333	SRR8416083	PRJNA448333	SRR8397894	cattle_rumen
rumen_microbiome_of_beef_cattle_601	PRJNA448333	SRR8416063	PRJNA448333	SRR8397893	cattle_rumen
rumen_microbiome_of_beef_cattle_604	PRJNA448333	SRR8416066	PRJNA448333	SRR8397892	cattle_rumen
rumen_microbiome_of_beef_cattle_608	PRJNA448333	SRR8416097	PRJNA448333	SRR8397891	cattle_rumen
rumen_microbiome_of_beef_cattle_611	PRJNA448333	SRR8416098	PRJNA448333	SRR8397898	cattle_rumen
rumen_microbiome_of_beef_cattle_612	PRJNA448333	SRR8416099	PRJNA448333	SRR8397897	cattle_rumen
rumen_microbiome_of_beef_cattle_701	PRJNA448333	SRR8416100	PRJNA448333	SRR8397896	cattle_rumen
rumen_microbiome_of_beef_cattle_702	PRJNA448333	SRR8416077	PRJNA448333	SRR8397895	cattle_rumen
rumen_microbiome_of_beef_cattle_703	PRJNA448333	SRR8416078	PRJNA448333	SRR8397900	cattle_rumen
rumen_microbiome_of_beef_cattle_704	PRJNA448333	SRR8416082	PRJNA448333	SRR8397899	cattle_rumen
rumen_microbiome_of_beef_cattle_705	PRJNA448333	SRR8416081	PRJNA448333	SRR8397926	cattle_rumen
rumen_microbiome_of_beef_cattle_706	PRJNA448333	SRR8416086	PRJNA448333	SRR8397927	cattle_rumen
rumen_microbiome_of_beef_cattle_707	PRJNA448333	SRR8416084	PRJNA448333	SRR8397924	cattle_rumen
rumen_microbiome_of_beef_cattle_708	PRJNA448333	SRR8416101	PRJNA448333	SRR8397925	cattle_rumen
rumen_microbiome_of_beef_cattle_709	PRJNA448333	SRR8416085	PRJNA448333	SRR8397922	cattle_rumen
rumen_microbiome_of_beef_cattle_710	PRJNA448333	SRR8416080	PRJNA448333	SRR8397923	cattle_rumen
rumen_microbiome_of_beef_cattle_712	PRJNA448333	SRR8416079	PRJNA448333	SRR8397921	cattle_rumen
HiTCE_2d	PRJNA344005	SRR4308224	PRJNA344005	SRR4308227	groundwater
HiTCEB12_2d	PRJNA344005	SRR4308225	PRJNA344005	SRR4308226	groundwater
CS-Sed16-2cmA	PRJNA453733	SRR7083928	PRJNA453733	SRR7083931	lake
amazon_plume_2_0um_from_station_10	PRJNA237345	SRR1193190	PRJNA237344	SRR1205250	river
amazon_plume_2_0um_from_station_2	PRJNA237345	SRR1193177	PRJNA237344	SRR1182511	river
amazon_plume_2_0um_from_station_23	PRJNA237345	SRR1193237	PRJNA237344	SRR1202089	river
amazon_plume_2_0um_from_station_27	PRJNA237345	SRR1193629	PRJNA237344	SRR1183643	river
amazon_plume_2_0um_from_station_3	PRJNA237345	SRR1193226	PRJNA237344	SRR1199272	river
amazon_plume_0_2_2_0um_from_station_10	PRJNA237345	SRR1186930	PRJNA237344	SRR1199271	river
amazon_plume_0_2_2_0um_from_station_2	PRJNA237345	SRR1193205	PRJNA237344	SRR1182512	river
amazon_plume_0_2_2_0um_from_station_23	PRJNA237345	SRR1193632	PRJNA237344	SRR1186214	river
amazon_plume_0_2_2_0um_from_station_25	PRJNA237345	SRR1204579	PRJNA237344	SRR1202090	river
amazon_plume_0_2_2_0um_from_station_27	PRJNA237345	SRR1193627	PRJNA237344	SRR1183650	river
amazon_plume_0_2_2_0um_from_station_3	PRJNA237345	SRR1193215	PRJNA237344	SRR1185413	river
amazon_river_0_2_2_0um_from_belem	PRJNA237345	SRR1781804	PRJNA237344	SRR1790489	river
amazon_river_0_2_2_0um_from_macapa_north_channel	PRJNA237345	SRR1785209	PRJNA237344	SRR1786279	river
amazon_river_0_2_2_0um_from_macapa_south_channel	PRJNA237345	SRR1784299	PRJNA237344	SRR1787940	river
amazon_river_0_2_2_0um_from_obidos	PRJNA237345	SRR1781945	PRJNA237344	SRR1790676	river
amazon_river_0_2_2_0um_from_tapajos_depth	PRJNA237345	SRR1779221	PRJNA237344	SRR1792674	river
amazon_river_0_2_2_0um_from_tapajos_surface	PRJNA237345	SRR1777513	PRJNA237344	SRR1796116	river
amazon_river_2_0_297um_from_belem	PRJNA237345	SRR1781811	PRJNA237344	SRR1790644	river
amazon_river_2_0_297um_from_macapa_north_channel	PRJNA237345	SRR1785350	PRJNA237344	SRR1786281	river
amazon_river_2_0_297um_from_macapa_south_channel	PRJNA237345	SRR1784304	PRJNA237344	SRR1787943	river
